,Name,Address,Contact,Max Discount,Link
10,Essensuals by Toni & Guy,"RC Towers, Josier Street, Kodambakkam High Road, Tirumurthy Nagar, Nungambakkam, Chennai",+91 9962522999,55,https://www.nearbuy.com/chennai/essensuals-by-toni-and-guy-nungambakkam-2?merchantId=351403&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
11,Lee'Amour Family Saloon & Spa,"No. 148/2, Habibullah Road, T Nagar, Chennai",+91 9123570731,75,https://www.nearbuy.com/chennai/leeamour-family-saloon-andspa-t-nagar?merchantId=354592&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
12,Essensuals," No. 1A/1, 1st Floor, Millennium Towers, Taylors Road, Kilpauk, Chennai","+91 44 43883131, +91 4443887171",43,https://www.nearbuy.com/chennai/essensuals-kilpauk-1?merchantId=293716&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
13,Essensuals,"1st Main Road, No. 36, 1st Floor, KG Galaxy, 2nd Avenue, Above Fab India, Chintamani, Anna Nagar East, Chennai","+91 44 45525251, +91 44 43595943",43,https://www.nearbuy.com/chennai/essensuals-anna-nagar-east?merchantId=33109&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
14,naturals,"No. 66/68, Siruvallur High Road, Perambur, Chennai","+91 0444 8655999, +91 4448655999",59,https://www.nearbuy.com/chennai/naturals-perambur-perambur?merchantId=276048&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
15,7Star Men's Salon,"No. 4 SFC Center, Near Prime Store, Indian Institute of Technology, Chennai",+91 9841418413,60,https://www.nearbuy.com/chennai/7-star-the-family-salon-velacheri-0?merchantId=332680&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
16,VLCC,"No. 79 , C.P Ramaswamy Road, Alwarpet, Chennai",+91 44 24671918,17,https://www.nearbuy.com/chennai/vlcc-alwarpet?merchantId=113087&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
17,Bali Foot Spa,"Door No. 100/3, 1st Floor, Plot No. 4080, Block T, Anna Nagar, Chennai","+91 9940207092, +91 8190063647, +91 44 47666688, +91 7092827208",44,https://www.nearbuy.com/chennai/bali-foot-spa-anna-nagar?merchantId=351319&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
18,Toni & Guy Essensuals ,"421/619, Near Tata Motors, 200 Feet Radial Road, S. Kolathur, Viouthalai Nagar, Kovilambakkam, Chennai",+91 9940220087,50,https://www.nearbuy.com/chennai/toni-and-guy-essensuals-kovilambakkam?merchantId=354336&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
19,Foot Recharge,"No. 4 & 5, TNHBH Complex, Opp Wow Momo, 4th Main Road, Elliot Beach, Besant Nagar, Chennai","+91 9884932227, +91 8939752227",40,https://www.nearbuy.com/chennai/foot-recharge-besant-nagar?merchantId=354335&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
20,Bharti J Beauty Salon & Bridal Studio,"No. 17, Ground Floor, Near Muthoot Finance, Kavarai Street, West Saidapet, Chennai",+91 9962878759,50,https://www.nearbuy.com/chennai/bharti-j-beauty-salon-and-bridal-studio-west-saidapet?merchantId=344827&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
21,Myo Thai Spa,"100 Feet Road, Door No. 30, 2nd Floor, Plot No. 114, Near Anjappar Restaurant, 100 Feet Bypass Road, Kamarajapuram, Velacheriy, Chennai",+91 7998366666,44,https://www.nearbuy.com/chennai/myo-thai-spa-velacheri?merchantId=344252&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
22,VLCC,"New No. 12, Old No. 89, Plot No. 3792, 4th Main Road, Block Q, Anna Nagar, Chennai","+91 44 43016661, +91 44 43016662",17,https://www.nearbuy.com/chennai/vlcc-anna-nagar?merchantId=113085&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
23,Bali Foot Spa,"Banumathi Ramakrishnan Street, Arcot Road, Saligramam, Chennai","+91 9344288728, +91 44 48063085, +91 8190063647, +91 9940207092",65,https://www.nearbuy.com/chennai/bali-foot-spa-saligramam?merchantId=329706&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
24,Lee'Amour Family Saloon & Spa,"No. 148/2, Habibullah Road, T Nagar, Chennai",+91 9123570731,75,https://www.nearbuy.com/chennai/leeamour-family-saloon-andspa-t-nagar?merchantId=354592&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
25,Toni&Guy,"Trunk Road, No. 5/12, 1st Floor, Perumal Koil Street, Porur, Iyappanthangal, Chennai","+91 44 48648111, +91 44 48649111",39,https://www.nearbuy.com/chennai/toni-and-guy-iyappanthangal?merchantId=320637&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
26,Enhance Studio Unisex Salon & Spa,"No. 45/115, 1 A E Block, Nelson Manickam Road, Nelson Chamber, Aminijikarai, Chennai","+91 9884946996, +91 44 42648944",90,https://www.nearbuy.com/chennai/green-trends-aminijikarai?merchantId=55481&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
28,7 Star Family Beauty Salon,"No. 13, Near 3rd Street, Venus Colony, Anna Nagar Extension, Chennai","+91 0444 8576158, +91 9841418413",60,https://www.nearbuy.com/chennai/7-star-the-family-beauty-saloon-anna-nagar?merchantId=86657&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
29,Toni&Guy,"Arcot Road, No. 324, Kamarajar Salai, Alwartirunagar, Palaniappa Nagar, Valasaravakkam, Chennai","+91 4445532030, +91 4445542030",39,https://www.nearbuy.com/chennai/toniandguy-valasaravakkam?merchantId=334205&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
30,VLCC,"Tharamani Link Road, No. 9 & 26, Taramani Link Road, Chennai","+91 9500235570, +91 44 45114015",17,https://www.nearbuy.com/chennai/vlcc-velacheri?merchantId=113088&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
31,Zique Salon And Spa,"No. 9/7, Opp. Old G7 Police Station, Rain Tree Place, MC Nicholas Road, Chetpet, Chennai",+91 7338831121,50,https://www.nearbuy.com/chennai/zique-salon-chetpet?merchantId=352176&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
32,The Vintage Green Luxury Salon and Spa,"No. 154, Mahalingapuram Main Road, Kamdar Nagar, Mahalinga Puram, Nungambakkam, Chennai","+91 9500123828, +91 9500537878",44,https://www.nearbuy.com/chennai/the-vintage-spa-and-salon-nungambakkam?merchantId=306472&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
33,White Orchids Unisex Day Spa & Salon,"No. 3/131, 1st Floor, Above Axis Bank ATM, Kumaran Kudil Main Road, Parthasarthi Nagar, Thuraipakkam, Chennai","+91 9551138361, +91 9940872727, +91 044 33065970",52,https://www.nearbuy.com/chennai/white-orchid-day-spa-thuraipakkam?merchantId=32911&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
34,Meghavi Wellness Spa - Hotel Novotel OMR Chennai,"Old Mahabalipuram Road (OMR), Hotel Novotel OMR Chennai, 11th Floor, Opp. Elcot Sez, IT Expressway, Rajiv Gandhi Salai, Sholinganallur, Chennai","+91 6309573999, +91 6309541999",42,https://www.nearbuy.com/chennai/meghavi-wellness-spa-novotel-chennai-sipcot-egattur?merchantId=342487&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
35,Sohum Wellness - Hilton Chennai,"Hilton Chennai, 124, 1, Lower Ground Floor, Jawaharlal Nehru Road, Poomagal Nagar, Guindy, Chennai","+91 044 22255555, +91 8838303766",53,https://www.nearbuy.com/chennai/sohum-wellness-hilton-chennai-guindy?merchantId=344254&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
36,VLCC,"No. 323, Diamond Dune, Next Pachiappas College, Poonamallee High Road, Aminjikarai, Chetpet, Chennai","+91 44 26680828, +91 44 42698771, +91 44 42698772",17,https://www.nearbuy.com/chennai/vlcc-chetpet?merchantId=113086&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
37,Star Wellnass Center - Quality Inn Sabari Grand,"Quality Inn Sabari Grand, 29, Thirumalai Pillai Road, Thirumurthy Nagar, T Nagar, Chennai","+91 8939632227, +91 8939752227",40,https://www.nearbuy.com/chennai/star-wellnass-center-quality-inn-sabari-grand-t-nagar?merchantId=354334&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
38,Bali Foot Spa,"Plot No. 36, 1st Main Road, Kamatchi Nagar, Pallikaranai, Chennai","+91 8190063647, +91 9940207092, +91 7092827208, +91 44 47841312",40,https://www.nearbuy.com/chennai/bali-foot-spa-pallikaranai?merchantId=354837&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
39,Muskan Beauty Parlour Unisex Saloon,"No. 6 1st Floor, Near Singapore Shop, South Mada Street, Thiruvanmiyur, Chennai","+91 6374420991, +91 9042050343",50,https://www.nearbuy.com/chennai/muskan-beauty-parlour-unisex-saloon-thiruvanmiyur?merchantId=346687&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
40,Pink Beauty Salon,"28/47, Kavarai Street, West Saidapet, Chennai",+91 9384670200,50,https://www.nearbuy.com/chennai/pink-beauty-salon-west-mambalam?merchantId=288155&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
41,Toni&Guy,"Wallace Garden Street, No. 19, 1st Floor, 3rd Street, Wallace Garden 2nd Street, Thousand Lights, Chennai","+91 4443358484, +91 4443308484",39,https://www.nearbuy.com/chennai/toniandguy-thousand-lights?merchantId=334204&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
42,Essensuals Toni & Guy,"No. 13, 2nd Floor, Avadi Poonamalle Main Road, Paruthippattu, Kannapalayam, Chennai",+91 7358200865,59,https://www.nearbuy.com/chennai/essensuals-toni-and-guy-hairdressing-kannapalayam?merchantId=354322&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
43,S3 Spa And Salon,"No.11/7, 1st Street, Jeevarathnam Nagar, Shastri Nagar, Adyar, Chennai",+91 7200549546,50,https://www.nearbuy.com/chennai/s3-spa-and-salon-adyar-0?merchantId=345250&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
44,Haven Unisex Spa,"No.92, Dr.Ranga Road, Beemana Mudhali Street, Abhirampuram, Alwarpet, Chennai","+91 044 45525385, +91 7010134670",20,https://www.nearbuy.com/chennai/haven-unisex-spa-alwarpet?merchantId=348288&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
45,Adyar Star Aayush,"No. 12, Dhanalakshmi Avenue, Opp. Parasu Dental Hospital, Kasturba Nagar, Adyar, Chennai","+91 8939752227, +91 7092912349, +91 9566209686",52,https://www.nearbuy.com/chennai/adyar-star-aayush-adyar?merchantId=352856&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
46,Naturals,"No. 25, Near State Bank Of India, Landons Road, Kilpauk, Chennai","+91 44 42824444, +91 8428254444",50,https://www.nearbuy.com/chennai/naturals-kilpauk-0?merchantId=276015&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
47,Unisex Makeover Studios,"No. 1, Near Nandi Statue, North East Street, CIT Nagar West, Nandanam, Chennai",+91 8825888828,58,https://www.nearbuy.com/chennai/i-unisex-makeover-studios-nandanam?merchantId=339658&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
48,Respa By Iyasya Spa - The Residency Towers,"The Residency Towers, 115, Sir Theagaraya Road, Parthasarathi Puram, T Nagar, Chennai",+91 44 28156363,75,https://www.nearbuy.com/chennai/respa-by-iyasa-spa-the-residency-towers-t-nagar?merchantId=341783&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
49,Expose Beauty Care,"Flat No. 59, 2nd Floor, 70 Feet Road, Periyar Nagar, Peravallur, Chennai",+91 9715555572,55,https://www.nearbuy.com/chennai/expose-beauty-care-peravallur?merchantId=354524&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
50,Le Bliss Spa,"No. 2, Grand Arcade, Near Grand Mall, Dr Seetaraman Main Road, Vijaya Nagar, Chennai",+91 7305344552,50,https://www.nearbuy.com/chennai/le-bliss-spa-velacheriy-0?merchantId=321681&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
51,The Magic Hands Unisex Salon & Academy," 98/95, Dr Radha Krishnan Salai, Near Sree Krishna Sweets, Jagadambal Colony, Sripuram, Durgapuram, Mylapore, Chennai","+91 6385199005, +91 44 42550107",50,https://www.nearbuy.com/chennai/the-magic-hands-unisex-salon-and-academy-mylapore?merchantId=350015&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
52,Tulip Spa,"Kences Inn, No.50, North Boag Road, T Nagar, Chennai",+91 7200093558,40,https://www.nearbuy.com/chennai/tulip-spa-t-nagar?merchantId=354183&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
53,Siddh Spa - Hyatt Regency,"Anna Salai Road, Hyatt Regency, 365, Anna Salai, Rostrevor Garden, Teynampet, Chennai",+91 44 61001234,20,https://www.nearbuy.com/chennai/siddh-spa-hyatt-regency-teynampet?merchantId=111938&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
54,Trendy Bridal Salon ,"19/10, Ramappa Nagar, Perungudi, Chennai",+91 7200609665,34,https://www.nearbuy.com/chennai/trendy-bridal-salon-perungudi?merchantId=353739&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
55,Bali Foot Spa,"2/24, 1st Floor, 11th Cross Street, Indra Nagar, Adyar, Chennai","+91 044 40066894, +91 7092827208, +91 9940207092",50,https://www.nearbuy.com/chennai/bali-foot-spa-adyar?merchantId=346950&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
56,The GlamSquad Salon & Academy,"1/22, Dr. Radha Krishnan Salai, 4th Street, Mylapore, Chennai","+91 6379522874, +91 7200030480",50,https://www.nearbuy.com/chennai/marie-claire-paris-salon-mylapore?merchantId=330621&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
57,24k Luxury Salon And Spa,"Q90, 1st Floor, Above Pink Gym, Near Yesesi Super Market, 4th Main Road, Block Q, Anna Nagar, Chennai","+91 44 48568555, +91 8637466636",43,https://www.nearbuy.com/chennai/24k-anna-nagar?merchantId=295776&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
58,Tranquil Beauty & Wellness,"11-12, Rajendra Garden, Bismillah Nagar, Pandian Nagar, Vettuvankeni, Injambakkam, Chennai","+91 9962477773, +91 44 47652555",38,https://www.nearbuy.com/chennai/tranquil-beauty-and-wellness-injambakkam?merchantId=351021&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
59,VLCC,"No. 82/51, 1st Avenue, Indra Nagar, Adyar, Chennai","+91 44 24422133, +91 44 24422134, +91 44 42695300",17,https://www.nearbuy.com/chennai/vlcc-adyar?merchantId=113084&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
60,Toni&Guy,"No. 16,  Platinum 34, Khader Nawaz Khan Road, Nungambakkam, Chennai","+91 44 28333373, +91 44 43229888",39,https://www.nearbuy.com/chennai/toni-and-guy-thousand-lights?merchantId=32822&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
61,Talk of the Town Mens Salon,"10, Srinivasan Nagar, Agaram Then, Selaiyur, Chennai",+91 7305211124,57,https://www.nearbuy.com/chennai/talk-of-the-town-mens-salon-selaiyur?merchantId=349464&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
62,Essensuals by Toni&Guy," Level 2-CP24, Razack Garden Main Road, MMDA Colony, Arumbakkam, Chennai","+91 9003278158, +91 044 23635158, +91 9884696269",33,https://www.nearbuy.com/chennai/essensuals-by-toniandguy-arumbakkam-0?merchantId=348238&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
64,Ode Spa,"No. 2, Express Avenue Mall, Club House Road, Express Estate, Royapettah, Chennai",+91 9247020202,57,https://www.nearbuy.com/chennai/ode-spa-royapettah?merchantId=355470&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
65,Green Day Spa,"Venkatachalam Street, No. 108/228, Opp. Yellow Page Office, Venkatachallam Street, Dr. Radha Krishnan Salai, Mylapore, Chennai",+91 9962814814,79,https://www.nearbuy.com/chennai/green-day-spa-mylapore?merchantId=59147&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
66,Suvae Spa and Wellness,"St. Mary's Road, 1st Floor, A-1 No.-65, CP Ramaswamy Street, Abhirampuram, Alwarpet, Chennai",+91 8608369862,54,https://www.nearbuy.com/chennai/suvae-spa-and-wellness-alwarpet?merchantId=342627&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
67,Studio Mitro Unisex Salon,"No.183/84, Lakshmi Street, Lake View Road, West Mambalam, Chennai",+91 44 24851007,65,https://www.nearbuy.com/chennai/studio-lounge-west-mambalam?merchantId=31663&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
68,Toni&Guy Essensuals,"Door No. 17/49, Plot No. 311 & 312, Opp. Shree Gupta Bhavan, Above Bluestone Jewelry, Velachery Bypass Road, Lakshmi Puram, Chennai",+91 7358120083,54,https://www.nearbuy.com/chennai/toniandguy-essensuals-velacheri?merchantId=353475&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
69,Envi Salon And Spa,"SL 02, Ground Floor, Express Avenue, Near Clock Tower, Club House Road, Express Estate, Pudupakkam, Chennai","+91 44 43557770, +91 44 43587770",46,https://www.nearbuy.com/chennai/envi-salon-royapettah?merchantId=320052&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
70,Meghavi Wellness Spa - Hotel Novotel Chennai Sipcot,"Old Mahabalipuram Road (OMR), Hotel Novotel Chennai Sipcot, 8th Floor, Opp. Sipcot IT Park Siruseri, Old Mahabalipuram Road, Egattur, Chennai","+91 6309043999, +91 6269829999",42,https://www.nearbuy.com/chennai/meghavi-wellness-spa-novotel-chennai-omr-egattur?merchantId=345884&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
71,Essensuals By Toni & Guy,"New No. 38, Old No. 15, Anna Salai, Above Sony Center, Pudupakkam, Chennai","+91 9884410712, +91 44 43039111, +91 8428011115",64,https://www.nearbuy.com/chennai/essensuals-by-toni-and-guy-chinthadripet?merchantId=309462&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
72,7 Sense Beauty Studio,"1/356, Near Basha Bike Showroom, Sheik Abdulla Nagar, Gandhi Nagar, Virugambakkam, Chennai",+91 8754598779,56,https://www.nearbuy.com/chennai/jiya-beautyparlor-new-washermanpet?merchantId=355268&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
73,Sun Spa and Salon,"No. 16, 2nd floor, Mahalingapuram Main Road, Mahalinga Puram, Nungambakkam, Chennai",+91 9092534929,60,https://www.nearbuy.com/chennai/sun-spa-and-salon-nungambakkam-0?merchantId=342480&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
74,Toni&Guy,"Jawaharlal Nehru Road, No. 71/1&3, Old No. 13/1 & 3, 1st Floor, 1st Avenue, Indira Colony, Ashok Nagar, Chennai","+91 44 48602061, +91 44 48602062",39,https://www.nearbuy.com/chennai/toni-and-guy-teynampet-0?merchantId=32818&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
75,Naturals,"No. 129/100, 1st Floor, Opp. Reliance Trends, Pammal Main Road, Krishna Nagar, Muthamizh Nagar, Pallavaram, Chennai","+91 044 42873232, +91 044 22482878, +91 9042772661",30,https://www.nearbuy.com/chennai/naturals-pammal?merchantId=330395&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
76,Samudhram Beauty and Wellness,"Old No. 30, New No.18, 2nd Floor, Bhattad Towers, Westcott Road, Indira Garden, Royapettah, Chennai",+91 8056100510,50,https://www.nearbuy.com/chennai/samudhram-beauty-and-wellness-alwarpet?merchantId=353579&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
77,Svastha Spa & Wellness Studio - Park Elanza,"Park Elanza, 125, Valluvar Kottam High Road, Tirumurthy Nagar, Nungambakkam, Chennai",+91 7200133004,39,https://www.nearbuy.com/chennai/svastha-spa-and-wellness-studio-nungambakkam-0?merchantId=345933&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
78,Ashlee Spa,"Grand Southern Trunk Road, No. 9, 2nd Floor, Grand Southen Trunk Road, Tambaram, Kamakshi Colony, Sanatorium, Chennai","+91 8122532482, +91 044 48600990",22,https://www.nearbuy.com/chennai/ashlee-spa-sanatorium?merchantId=331728&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
79,Urban Day Spa,"No. 1, Opp. Murugan Idly Shop, Ananthan Street, N Usman Road, T Nagar, Chennai",+91 6374671147,33,https://www.nearbuy.com/chennai/urban-day-spa-t-nagar?merchantId=342594&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
80,Aira Spa - Hotel Halez,"Old Mahabalipuram Road (OMR), Hotel Halez, Near Hyundai Showroom, Old Mahabalipuram Road, Rajiv Gandhi Salai, Sholinganallur, Chennai","1800 1025638, +91 9789021929, +91 4445925500, +91 4445925550",36,https://www.nearbuy.com/chennai/aira-spa-aloft-hotels-sholinganallur?merchantId=93517&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
81,Haven Unisex Spa,"No. 132, Flat 2A , Krishna Vihar Apartment, Block AA, Anna Nagar, Chennai","+91 7538811186, +91 9144137287",20,https://www.nearbuy.com/chennai/haven-unisex-spa-anna-nagar?merchantId=348283&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
82,VLCC,"No. 82/51, 1st Avenue, Indra Nagar, Adyar, Chennai","+91 44 24422133, +91 44 24422134, +91 44 42695300",17,https://www.nearbuy.com/chennai/vlcc-adyar?merchantId=113084&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
83,Toni&Guy,"No. 29, 2nd Floor, Kasturi Rangan Road, Poes Garden, Parthasarthi Garden, Alwarpet, Chennai","+91 44 45086060, +91 44 45145050, +91 8939625025",39,https://www.nearbuy.com/chennai/toni-and-guy-alwarpet-0?merchantId=35238&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
84,Ayush Ayurvedic Health Center,"No : 752/ A1 Ramnagar, 7th Cross Street, Ram Nagar South, Madipakkam, Chennai","+91 8883838484, +91 9865151564",37,https://www.nearbuy.com/chennai/ayush-ayurvedic-health-centre-madipakkam?merchantId=80100&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
85,Haven Unisex Spa,"5/542, Burma Colony, OMR Service Road, Perungudi, Chennai",+91 9952957613,20,https://www.nearbuy.com/chennai/haven-unisex-spa-perungudi?merchantId=348289&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
86,Naturals,"No. 76, Bazullah Road, T Nagar, Chennai","+91 9941430333, +91 44 49672121",50,https://www.nearbuy.com/chennai/naturals-t-nagar?merchantId=57486&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
